ボーダーブレイク	ぼーだーぶれいく	固有名詞
重火力兵装	じゅうかりょくへいそう	役職名
重火	じゅうか	役職名
アサルト	あさると	役職名
強襲兵装	きょうしゅうへいそう	役職名
強襲	きょうしゅう	役職名
支援兵装	しえんへいそう	役職名
支援	しえん	役職名
遊撃兵装	ゆうげきへいそう	役職名
遊撃	ゆうげき	役職名
兵装	へいそう	役職名
コア凸	こあとつ	
プラント	ぷらんと	地名
Bプラ	びーぷら	地名
Dプラ	でぃーぷら	地名
Fプラ	えふぷら	地名
Eプラ	いーぷら	地名
Cプラ	しーぷら	地名
Aプラ	えーぷら	地名
α側	あるふぁがわ	地名
β側	べーたがわ	地名
ユニオンバトル	ゆにおんばとる	固有名詞
ユニオン	ゆにおん	
大攻防戦	だいこうぼうせん	固有名詞
カジュマ	かじゅま	固有名詞
カジュアルマッチ	かじゅあるまっち	固有名詞
ランクマ	らんくま	固有名詞
ランクマッチ	らんくまっち	固有名詞
オーバーヒート	おーばーひーと	
開幕凸	かいまくとつ	
カタパ	かたぱ	固有名詞
カタパルト	かたぱると	固有名詞
キルデス	きるです	
大破	たいは	
撃破	げきは	
屈キャン	くっきゃん	
再始動	さいしどう	
サテバン	さてばん	固有名詞
サテライトバンカー	さてらいとばんかー	固有名詞
要請兵器	ようせいへいき	固有名詞
自動砲台	じどうほうだい	固有名詞
シュラゴン	しゅらごん	固有名詞
初狩り	しょかり	
smurf	すまーふ	
凸屋	とつや	役職名
ニュード	にゅーど	固有名詞
ニュード汚染	にゅーどおせん	固有名詞
ネクロマンサー	ねくろまんさー	
ピタゴラ	ぴたごら	
ブラスト	ぶらすと	固有名詞
ボーダー	ぼーだー	役職名
ボダブレ	ぼだぶれ	固有名詞
リペアポッド	りぺあぽっど	固有名詞
SPゲージ	えすぴーげーじ	固有名詞
